gisaid_epi_isl,date,segment,originating_lab,submitting_lab,authors,url,date_submitted
EPI_ISL_418241,2020-03-02,genome,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_418242,2020-03-08,genome,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-03-29
EPI_ISL_420037,2020-03-02,genome,NIC Viral Respiratory Unit - Institut Pasteur of Algeria,"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris",Albert et al,https://www.gisaid.org,2020-04-04
EPI_ISL_413485,2020-01-24,genome,"Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention","Department of microbiology laboratory,Anhui Provincial Center for Disease Control and Prevention",Li et al,https://www.gisaid.org,2020-03-05
EPI_ISL_420600,2020-03-07,genome,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,https://www.gisaid.org,2020-04-06
EPI_ISL_420599,2020-03-18,genome,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,https://www.gisaid.org,2020-04-06
EPI_ISL_420598,2020-03-22,genome,Servicio Virosis Respiratorias-Departamento Virologia-INEI,Instituto Nacional Enfermedades Infecciosas C.G.Malbran,Baumeister et al,https://www.gisaid.org,2020-04-06
EPI_ISL_430793,2020-03-01,genome,"Laboratorio Analisis Clinicos, Unidad de Servicios Diagnosticos, Swiss Medical Group",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430794,2020-03-24,genome,"Laboratorio Analisis Clinicos, Unidad de Servicios Diagnosticos, Swiss Medical Group",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430795,2020-03-26,genome,Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430796,2020-03-27,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
EPI_ISL_430797,2020-03-27,genome,"Departamento de Biologia y genetica molecular, IACA Laboratorios.",Area de Secuenciacion del Laboratorio de Virologia del Hospital de Ninos Dr. Ricardo Gutierrez,Jodar et al,https://www.gisaid.org,2020-04-27
